month,chat,comment,start,award,close,post,gitPush,tip,introduce,follow,subscribe,createCoreTeamMembership,destroyContract,createContract,open,found,updateContract,launch,unassign,update,assign,reference
Jul 13,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug 13,9,129,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Sep 13,0,594,0,90,66,0,0,0,0,0,0,0,0,0,5,0,0,0,0,21,0,99
Oct 13,25,826,0,84,52,0,0,0,0,0,0,0,0,0,6,0,0,0,0,32,0,119
Nov 13,15,820,0,71,43,33,0,0,0,0,0,0,0,0,7,0,0,0,11,14,47,287
Dec 13,29,749,0,56,14,38,0,0,0,0,0,0,0,0,3,0,0,0,3,11,56,102
Jan 14,16,1049,0,92,51,183,0,0,0,0,0,0,0,0,6,0,0,0,11,20,131,143
Feb 14,100,804,0,68,27,168,0,0,0,0,0,0,0,0,2,0,0,0,4,38,88,227
Mar 14,103,1649,0,113,58,302,0,0,0,0,0,0,0,0,3,0,0,0,0,17,135,100
Apr 14,68,1412,0,168,65,385,0,0,0,0,0,0,0,0,3,0,0,0,0,27,144,44
May 14,1655,1700,0,203,77,361,0,0,0,0,0,0,0,0,3,0,0,0,0,84,110,89
Jun 14,5267,1862,429,225,140,315,283,0,55,0,0,0,0,0,6,0,0,0,0,108,240,181
Jul 14,12662,1686,589,182,166,332,636,0,84,0,0,10,0,0,7,55,2,21,4,88,229,211
Aug 14,4241,1267,394,130,302,195,496,109,115,159,2,9,5,2,9,79,17,23,2,80,173,80
Sep 14,5220,2203,566,252,470,192,508,259,221,335,109,18,8,21,12,81,6,1,0,157,337,127
